month,category,unitePrice,value
2025-01,Limonadas,38.79,70
2025-01,Cervezas,137.07,36
2025-01,Ginebra,42.24,5
2025-01,Limonadas,38.79,73
2025-01,Martinis,47.41,4
2025-01,Tazones,107.76,3
2025-01,Cervezas,38.79,28
2025-01,Refrescos,42.24,28
2025-01,Kids,128.45,10
2025-01,Cocteles sin Alcohol,59.48,10
2025-01,Margaritas,73.28,4
2025-01,Cervezas,137.07,31
2025-01,Nigiri,56.03,14
2025-01,Ensaladas,223.28,1
2025-01,Nigiri,30.17,3
2025-01,Rollos Naturales,236.21,145
2025-01,Rollos Horneados,193.10,31
2025-01,Nigiri,56.03,14
2025-01,Temakis,73.28,5
2025-01,Mojitos,64.66,11
2025-01,Rollos Naturales,236.21,101
2025-01,Rollos Naturales,236.21,159
2025-01,Temakis,73.28,5
2025-01,Cervezas,38.79,18
2025-01,Mojitos,64.66,5
2025-01,Jarras Limonada,107.76,4
2025-01,Vegano,111.21,2
2025-01,Rollos Naturales,236.21,91
2025-01,Temakis,145.69,7
2025-01,Refrescos,42.24,16
2025-01,Entradas,180.17,69
2025-01,Tazones,197.41,8
2025-01,Postres,90.52,8
2025-01,Tes Calientes o Frios,33.62,7
2025-01,Postres,112.93,8
2025-01,Limonadas,38.79,149
2025-01,Rollos Empanizados,181.90,49
2025-01,Vodka,73.28,2
2025-01,Limonadas,38.79,119
2025-01,Entradas,181.90,66
2025-01,Rollos Empanizados,181.90,25
2025-01,Tempuras,64.66,2
2025-01,Cocteles,73.28,9
2025-01,Nigiri,30.17,15
2025-01,Martinis,47.41,6
2025-01,Entradas,180.17,45
2025-01,Ensaladas,223.28,3
2025-01,PokeBowl,203.45,50
2025-01,Pastas,279.31,7
2025-01,Rollos Empanizados,181.90,72
2025-01,Rollos Horneados,193.10,20
2025-01,Tequila,116.38,2
2025-01,Temakis,107.76,5
2025-01,Rollos Capeados,137.07,3
2025-01,Rollos Horneados,193.10,39
2025-01,Vinos,73.28,1
2025-01,Sopas,47.41,2
2025-01,Sashimi,326.72,1
2025-01,Tes Calientes o Frios,107.76,11
2025-01,Tempuras,116.38,4
2025-01,Arroz,128.45,28
2025-01,Vegano,138.79,3
2025-01,Rollos Naturales,236.21,75
2025-01,Margaritas,73.28,1
2025-01,Temakis,73.28,4
2025-01,Pastas,279.31,12
2025-01,Kids,102.59,6
2025-01,Vegano,138.79,4
2025-01,Extras,34.48,116
2025-01,Cocteles sin Alcohol,59.48,14
2025-01,PokeBowl,203.45,84
2025-01,Cocteles,90.52,22
2025-01,Rollos Capeados,171.55,4
2025-01,Cocteles sin Alcohol,59.48,17
2025-01,Teppanyaki,214.66,3
2025-01,Sopas,223.28,15
2025-01,Refrescos,42.24,33
2025-01,Arroz,128.45,58
2025-01,Limonadas,38.79,85
2025-01,Martinis,47.41,5
2025-01,Limonadas,38.79,78
2025-01,Sashimi,361.21,1
2025-01,Kids,81.90,1
2025-01,Tempuras,64.66,4
2025-01,Rollos Naturales,236.21,131
2025-01,Tazones,180.17,4
2025-01,Postres,112.93,5
2025-01,Kids,81.90,2
2025-01,Jarras Limonada,107.76,2
2025-01,Refrescos,42.24,19
2025-01,Rollos Empanizados,181.90,90
2025-01,Rollos Capeados,137.07,2
2025-01,Digestivo,99.14,1
2025-01,Nigiri,30.17,6
2025-01,Extras,43.10,231
2025-01,Rollos Empanizados,181.90,69
2025-01,Temakis,73.28,5
2025-01,Rollos Naturales,236.21,55
2025-01,Sopas,90.52,2
2025-01,Refrescos,42.24,45
2025-01,Margaritas,73.28,4
2025-01,Tazones,180.17,2
2025-01,Rollos Horneados,197.41,59
2025-01,Cervezas,38.79,37
2025-01,Mojitos,64.66,5
2025-01,Cervezas,38.79,22
2025-01,Rollos Horneados,193.10,64
2025-01,PokeBowl,203.45,30
2025-01,Nigiri,56.03,12
2025-01,Tempuras,116.38,8
2025-01,Nigiri,56.03,19
2025-01,Cocteles,90.52,14
2025-01,Extras,43.10,103
2025-01,Kids,128.45,10
2025-01,Extras,43.10,200
2025-01,Tes Calientes o Frios,107.76,18
2025-01,Tequila,116.38,1
2025-01,Cocteles sin Alcohol,59.48,12
2025-01,Sashimi,361.21,1
2025-01,Margaritas,73.28,4
2025-01,Arroz,128.45,55
2025-01,PokeBowl,203.45,46
2025-01,Sopas,223.28,13
2025-01,Vegano,138.79,4
2025-01,Pastas,257.76,6
2025-01,Tazones,197.41,4
2025-01,Arroz,128.45,33
2025-01,Entradas,180.17,65
2025-01,Cervezas,137.07,39
2025-01,Ginebra,42.24,2
2025-01,Pastas,231.90,16
2025-01,Cocteles sin Alcohol,43.10,9
2025-01,Rollos Horneados,193.10,53
2025-01,Cocteles,90.52,4
2025-01,Tes Calientes o Frios,107.76,6
2025-01,Sopas,223.28,8
2025-01,Jarras Limonada,107.76,4
2025-01,Margaritas,73.28,1
2025-01,Postres,90.52,11
2025-01,Teppanyaki,231.90,8
2025-01,Digestivo,99.14,2
2025-01,Arroz,102.59,22
2025-01,Cocteles sin Alcohol,59.48,19
2025-01,Tazones,225.00,6
2025-01,Digestivo,99.14,1
2025-01,Rollos Capeados,171.55,4
2025-01,Arroz,128.45,33
2025-01,PokeBowl,203.45,73
2025-01,Cervezas,38.79,56
2025-01,Kids,102.59,3
2025-01,Nigiri,38.79,18
2025-01,Rollos Naturales,236.21,153
2025-01,Refrescos,42.24,42
2025-01,Cocteles,73.28,8
2025-01,Teppanyaki,289.66,18
2025-01,Kids,128.45,13
2025-01,Ensaladas,223.28,1
2025-01,Rollos Horneados,193.10,64
2025-01,Postres,112.93,6
2025-01,Nigiri,30.17,6
2025-01,Extras,43.10,141
2025-01,Jarras Limonada,107.76,1
2025-01,Temakis,73.28,2
2025-01,Rollos Horneados,193.10,26
2025-01,Jarras Limonada,107.76,4
2025-01,Refrescos,42.24,47
2025-01,Postres,90.52,11
2025-01,Extras,43.10,167
2025-01,Arroz,128.45,26
2025-01,Cervezas,38.79,26
2025-01,PokeBowl,203.45,36
2025-01,Cervezas,38.79,17
2025-01,Cocteles sin Alcohol,59.48,5
2025-01,Extras,43.10,192
2025-01,Rollos Horneados,193.10,23
2025-01,Rollos Naturales,188.79,58
2025-01,Cocteles,90.52,23
2025-01,Nigiri,107.76,9
2025-01,Tes Calientes o Frios,38.79,12
2025-01,Rollos Horneados,193.10,51
2025-01,Digestivo,99.14,1
2025-01,Vinos,90.52,1
2025-01,Temakis,73.28,2
2025-01,Tes Calientes o Frios,107.76,6
2025-01,Limonadas,38.79,128
2025-01,Rollos Naturales,236.21,51
2025-01,Pastas,279.31,9
2025-01,Cocteles,90.52,7
2025-01,Cervezas,38.79,18
2025-01,Kids,160.34,10
2025-01,Tes Calientes o Frios,107.76,4
2025-01,Kids,128.45,10
2025-01,Pastas,257.76,13
2025-01,Cocteles,90.52,12
2025-01,Nigiri,30.17,5
2025-01,Ensaladas,223.28,1
2025-01,Temakis,73.28,3
2025-01,Teppanyaki,231.90,4
2025-01,Mojitos,64.66,6
2025-01,Postres,90.52,4
2025-01,Rollos Capeados,171.55,11
2025-01,Digestivo,99.14,1
2025-01,Limonadas,38.79,71
2025-01,Sopas,223.28,5
2025-01,Mojitos,64.66,12
2025-01,Vegano,138.79,7
2025-01,Teppanyaki,231.90,5
2025-01,Tempuras,116.38,8
2025-01,Rollos Empanizados,181.90,76
2025-01,Tempuras,116.38,15
2025-01,Pastas,279.31,16
2025-01,Entradas,181.90,74
2025-01,Rollos Capeados,171.55,1
2025-01,Tes Calientes o Frios,33.62,5
2025-01,Mojitos,64.66,3
2025-01,Vinos,73.28,1
2025-01,Rollos Naturales,236.21,68
2025-01,Jarras Limonada,107.76,1
2025-01,Sashimi,361.21,2
2025-01,Cocteles,90.52,10
2025-01,Vegano,138.79,5
2025-01,Ensaladas,128.45,2
2025-01,Postres,112.93,16
2025-01,Extras,43.10,103
2025-01,Tempuras,116.38,11
2025-01,Sopas,90.52,11
2025-01,Vinos,73.28,2
2025-01,Cocteles sin Alcohol,43.10,3
2025-01,Limonadas,38.79,62
2025-01,Martinis,47.41,4
2025-01,Arroz,128.45,22
2025-01,Rollos Empanizados,181.90,42
2025-01,Mojitos,64.66,8
2025-01,Sashimi,361.21,1
2025-01,Tazones,197.41,8
2025-01,Sashimi,361.21,3
2025-01,Vegano,138.79,2
2025-01,Postres,90.52,4
2025-01,Martinis,47.41,2
2025-01,Rollos Empanizados,181.90,43
2025-01,Teppanyaki,231.90,6
2025-01,Tazones,197.41,8
2025-01,Entradas,145.69,35
2025-01,Cocteles sin Alcohol,59.48,5
2025-01,Rollos Empanizados,181.90,81
2025-01,Martinis,47.41,4
2025-01,Vegano,138.79,4
2025-01,Entradas,180.17,35
2025-01,PokeBowl,203.45,60
2025-01,Limonadas,38.79,143
2025-01,Rollos Capeados,137.07,2
2025-01,Sopas,223.28,13
2025-01,Sopas,223.28,10
2025-01,Arroz,128.45,47
2025-01,Refrescos,42.24,25
2025-01,Limonadas,38.79,137
2025-01,Mojitos,64.66,5
2025-01,Ensaladas,90.52,1
2025-01,Rollos Empanizados,181.90,101
2025-01,Vegano,111.21,2
2025-01,Tempuras,116.38,7
2025-01,Entradas,180.17,59
2025-01,Teppanyaki,231.90,7
2025-01,Tazones,197.41,4
2025-01,Rollos Empanizados,181.90,39
2025-01,Vegano,138.79,5
2025-01,Postres,90.52,9
2025-01,Limonadas,38.79,119
2025-01,Temakis,73.28,4
2025-01,Martinis,47.41,2
2025-01,Rollos Empanizados,181.90,27
2025-01,Teppanyaki,289.66,7
2025-01,Rollos Naturales,236.21,57
2025-01,Tazones,134.48,9
2025-01,Refrescos,42.24,34
2025-01,Pastas,279.31,6
2025-01,Jarras Limonada,107.76,1
2025-01,Mojitos,64.66,3
2025-01,Teppanyaki,231.90,4
2025-01,Entradas,181.90,63
2025-01,Tazones,197.41,10
2025-01,Vegano,111.21,1
2025-01,Pastas,279.31,15
2025-01,PokeBowl,203.45,83
2025-01,Tempuras,116.38,3
2025-01,Tes Calientes o Frios,107.76,11
2025-01,Entradas,180.17,25
2025-01,Postres,90.52,4
2025-01,Extras,43.10,110
2025-01,Refrescos,42.24,34
2025-01,Rollos Capeados,171.55,8
2025-01,Vegano,111.21,1
2025-01,Rollos Capeados,171.55,2
2025-01,Vinos,73.28,1
2025-01,Limonadas,38.79,91
2025-01,Mojitos,64.66,4
2025-01,Martinis,47.41,1
2025-01,Rollos Empanizados,181.90,32
2025-01,Cocteles sin Alcohol,59.48,8
2025-01,Refrescos,42.24,27
2025-01,Sopas,223.28,6
2025-01,Pastas,257.76,11
2025-01,Cervezas,137.07,16
2025-01,Tazones,197.41,6
2025-01,Margaritas,73.28,1
2025-01,Entradas,145.69,67
2025-01,Cervezas,137.07,31
2025-01,Cocteles sin Alcohol,59.48,11
2025-01,Martinis,47.41,1
2025-01,Rollos Capeados,171.55,3
2025-01,Sopas,47.41,6
2025-01,Arroz,128.45,39
2025-01,Kids,128.45,5
2025-01,Refrescos,33.62,15
2025-01,Rollos Capeados,137.07,1
2025-01,Arroz,128.45,32
2025-01,Kids,128.45,4
2025-01,Margaritas,73.28,2
2025-01,Nigiri,38.79,17
2025-01,Extras,43.10,114
2025-01,Cocteles,90.52,3
2025-01,Digestivo,99.14,2
2025-01,Cocteles sin Alcohol,59.48,19
2025-01,Rollos Horneados,193.10,74
2025-01,Vinos,90.52,1
2025-01,Rollos Horneados,193.10,64
2025-01,Extras,43.10,220
2025-01,Temakis,73.28,1
2025-01,Margaritas,73.28,2
2025-01,Tes Calientes o Frios,33.62,14
2025-01,Arroz,128.45,28
2025-01,Cervezas,38.79,61
2025-01,Kids,128.45,3
2025-01,Ginebra,42.24,1
2025-01,Postres,112.93,10
2025-01,Rollos Empanizados,181.90,76
2025-01,Nigiri,107.76,3
2025-01,Martinis,47.41,4
2025-01,Cocteles,90.52,11
2025-01,PokeBowl,203.45,46
2025-01,Sashimi,361.21,1
2025-01,PokeBowl,203.45,52
2025-01,Rollos Horneados,197.41,43
2025-01,Vinos,90.52,1
2025-01,Digestivo,99.14,2
2025-01,Tempuras,116.38,8
2025-01,Teppanyaki,231.90,6
2025-01,Arroz,128.45,30
2025-01,Rollos Naturales,236.21,74
2025-01,Jarras Limonada,107.76,6
2025-01,Cocteles,90.52,3
2025-01,Tes Calientes o Frios,107.76,10
2025-01,PokeBowl,203.45,79
2025-01,Cocteles,90.52,13
2025-01,Pastas,279.31,19
2025-01,Nigiri,30.17,8
2025-01,Sopas,223.28,8
2025-01,Temakis,73.28,5
2025-01,Postres,90.52,6
2025-01,Digestivo,99.14,1
2025-01,Rollos Naturales,236.21,107
2025-01,Ensaladas,90.52,1
2025-01,Entradas,181.90,58
2025-01,Temakis,73.28,2
2025-01,Limonadas,38.79,63
2025-01,Jarras Limonada,107.76,2
2025-01,Vinos,387.93,1
2025-01,Mojitos,64.66,3
2025-01,Rollos Empanizados,181.90,116
2025-01,Mojitos,64.66,3
2025-01,Kids,128.45,4
2025-01,Jarras Limonada,107.76,1
2025-01,Kids,160.34,4
2025-01,Tempuras,64.66,4
2025-01,Rollos Capeados,171.55,4
2025-01,Entradas,180.17,62
2025-01,Rollos Capeados,171.55,2
2025-01,Vinos,73.28,1
2025-01,Extras,43.10,172
2025-01,Rollos Naturales,197.41,57
2025-01,Tequila,42.24,1
2025-01,Temakis,56.03,2
2025-01,Cervezas,137.07,24
2025-01,Temakis,73.28,1
2025-01,Margaritas,73.28,2
2025-01,Nigiri,56.03,18
2025-01,Margaritas,73.28,2
2025-01,Nigiri,30.17,11
2025-01,Tempuras,116.38,6
2025-01,Extras,43.10,104
2025-01,PokeBowl,203.45,43
2025-01,Extras,34.48,87
2025-01,PokeBowl,203.45,47
2025-01,Cocteles sin Alcohol,59.48,12
2025-01,Tazones,180.17,11
2025-01,Sashimi,361.21,1
2025-01,Arroz,128.45,50
2025-01,Sopas,223.28,6
2025-01,Vegano,138.79,4
2025-01,Margaritas,73.28,3
2025-01,Teppanyaki,231.90,10
2025-01,Pastas,279.31,15
2025-01,Mojitos,64.66,10
2025-01,Arroz,128.45,58
2025-01,Vegano,138.79,2
2025-01,Cocteles sin Alcohol,59.48,12
2025-01,PokeBowl,203.45,40
2025-01,Tes Calientes o Frios,107.76,17
2025-01,Entradas,181.90,66
2025-01,Vegano,138.79,5
2025-01,Sopas,223.28,15
2025-01,Teppanyaki,289.66,7
2025-01,Otros,431.03,1
2025-01,Postres,112.93,5
2025-01,Arroz,128.45,59
2025-01,Cervezas,137.07,40
2025-01,Digestivo,99.14,2
2025-01,Limonadas,38.79,186
2025-01,Tes Calientes o Frios,107.76,21
2025-01,Mojitos,64.66,5
2025-01,Cervezas,137.07,65
2025-01,Rollos Naturales,236.21,134
2025-01,Entradas,145.69,27
2025-01,Kids,90.52,9
2025-01,Entradas,180.17,33
2025-01,Refrescos,42.24,14
2025-01,Jarras Limonada,107.76,2
2025-01,Postres,90.52,5
2025-01,Teppanyaki,214.66,2
2025-01,Rollos Capeados,137.07,3
2025-01,Limonadas,38.79,156
2025-01,Limonadas,38.79,156
2025-01,Refrescos,42.24,21
2025-01,Martinis,47.41,2
2025-01,Rollos Empanizados,181.90,47
2025-01,Rollos Horneados,193.10,40
2025-01,Cocteles,73.28,6
2025-01,Temakis,73.28,6
2025-01,Rollos Naturales,236.21,142
2025-01,Jarras Limonada,107.76,1
2025-01,Tazones,197.41,8
2025-01,Extras,43.10,101
2025-01,Refrescos,42.24,25
2025-01,Tazones,197.41,10
2025-01,Cervezas,137.07,33
2025-01,Tempuras,116.38,12
2025-01,Rollos Empanizados,181.90,31
2025-01,Nigiri,56.03,22
2025-01,Tempuras,116.38,6
2025-01,Rollos Naturales,236.21,122
2025-01,Martinis,47.41,4
2025-01,Nigiri,107.76,22
2025-01,Cocteles,90.52,12
2025-01,Rollos Horneados,193.10,31
2025-01,Tes Calientes o Frios,107.76,8
2025-01,Rollos Horneados,197.41,36
2025-01,Temakis,145.69,3
2025-01,Temakis,73.28,8
2025-01,Sopas,90.52,3
2025-01,Vinos,90.52,3
2025-01,Sopas,223.28,6
2025-01,Pastas,231.90,9
2025-01,Cocteles,73.28,6
2025-01,Kids,81.90,5
2025-01,Cocteles,90.52,30
2025-01,Tes Calientes o Frios,107.76,9
2025-01,PokeBowl,203.45,74
2025-01,Limonadas,38.79,77
2025-01,Kids,128.45,6
2025-01,Pastas,279.31,14
2025-01,Postres,90.52,7
2025-01,Cocteles sin Alcohol,59.48,10
2025-01,Pastas,231.90,10
2025-01,Tes Calientes o Frios,33.62,10
2025-01,Rollos Capeados,171.55,5
2025-01,Cocteles sin Alcohol,59.48,4
2025-01,Refrescos,42.24,36
2025-01,Digestivo,99.14,2
2025-01,Arroz,128.45,33
2025-01,Postres,90.52,3
2025-01,Teppanyaki,231.90,5
2025-01,Temakis,73.28,4
2025-01,Vinos,90.52,1
2025-01,Martinis,47.41,2
2025-01,Margaritas,73.28,6
2025-01,Sashimi,326.72,1
2025-01,Rollos Empanizados,181.90,90
2025-01,Extras,43.10,174
2025-01,Cocteles,73.28,4
2025-01,Rollos Horneados,193.10,60
2025-01,Cocteles,90.52,8
2025-01,Cocteles sin Alcohol,59.48,5
2025-01,Rollos Horneados,193.10,57
2025-01,Rollos Capeados,137.07,2
2025-01,Teppanyaki,289.66,6
2025-01,Sopas,223.28,4
2025-01,Extras,43.10,192
2025-01,Mojitos,64.66,2
2025-01,Arroz,128.45,34
2025-01,Tes Calientes o Frios,107.76,14
2025-01,Kids,128.45,6
2025-01,Postres,90.52,5
2025-01,Cervezas,38.79,15
2025-01,Cocteles sin Alcohol,59.48,17
2025-01,Pastas,223.28,4
2025-01,Tes Calientes o Frios,107.76,11
2025-01,PokeBowl,203.45,78
2025-01,Vegano,138.79,2
2025-01,Tempuras,116.38,8
2025-01,Postres,90.52,9
2025-01,Limonadas,38.79,73
2025-01,Postres,90.52,4
2025-01,Refrescos,42.24,36
2025-01,Vegano,111.21,4
2025-01,Arroz,128.45,59
2025-01,Martinis,47.41,9
2025-01,Kids,128.45,5
2025-01,Teppanyaki,332.76,3
2025-01,Digestivo,99.14,1
2025-01,Tazones,107.76,7
2025-01,Entradas,145.69,62
2025-01,Kids,102.59,2
2025-01,Rollos Empanizados,181.90,51
2025-01,Nigiri,107.76,17
2025-01,Cervezas,38.79,31
2025-01,Sopas,47.41,1
2025-01,Tempuras,116.38,6
2025-01,Rollos Naturales,188.79,71
2025-01,Martinis,47.41,4
2025-01,Rollos Empanizados,181.90,62
2025-01,Rollos Horneados,197.41,80
2025-01,Mojitos,64.66,3
2025-01,Rollos Naturales,236.21,155
2025-01,Cervezas,38.79,43
2025-01,Extras,34.48,93
2025-01,Margaritas,73.28,4
2025-01,Jarras Limonada,107.76,4
2025-01,Temakis,107.76,2
2025-01,Sopas,223.28,8
2025-01,Arroz,128.45,46
2025-01,Tazones,197.41,10
2025-01,Teppanyaki,231.90,2
2025-01,Sopas,90.52,4
2025-01,Pastas,257.76,13
2025-01,Arroz,128.45,57
2025-01,Vegano,138.79,3
2025-01,Rollos Naturales,236.21,142
2025-01,Ron,73.28,1
2025-01,Postres,42.24,3
2025-01,Nigiri,107.76,10
2025-01,Pastas,279.31,27
2025-01,PokeBowl,203.45,96
2025-01,Cocteles sin Alcohol,59.48,22
2025-01,Tes Calientes o Frios,107.76,9
2025-01,Temakis,73.28,11
2025-01,Rollos Capeados,171.55,3
2025-01,Vinos,73.28,2
2025-01,Refrescos,33.62,23
2025-01,Teppanyaki,231.90,5
2025-01,Jarras Limonada,107.76,1
2025-01,Cocteles,90.52,4
2025-01,PokeBowl,203.45,36
2025-01,Vegano,138.79,3
2025-01,Cocteles sin Alcohol,59.48,12
2025-01,Ron,73.28,1
2025-01,Ensaladas,223.28,1
2025-01,Entradas,145.69,28
2025-01,Rollos Naturales,236.21,42
2025-01,Refrescos,42.24,33
2025-01,Rollos Capeados,171.55,3
2025-01,Entradas,145.69,36
2025-01,Jarras Limonada,107.76,2
2025-01,Nigiri,107.76,7
2025-01,Vinos,387.93,1
2025-01,Tes Calientes o Frios,107.76,8
2025-01,Cervezas,137.07,25
2025-01,Pastas,289.66,12
2025-01,Kids,128.45,17
2025-01,Entradas,180.17,48
2025-01,Rollos Empanizados,181.90,63
2025-01,Tazones,107.76,2
2025-01,Tempuras,116.38,7
2025-01,Cervezas,137.07,35
2025-01,Sashimi,361.21,1
2025-01,Nigiri,30.17,13
2025-01,Tempuras,116.38,6
2025-01,Limonadas,38.79,91
2025-01,Ensaladas,128.45,2
2025-01,Sashimi,326.72,2
2025-01,Rollos Horneados,193.10,31
2025-01,Cocteles,90.52,26
2025-01,Rollos Naturales,236.21,81
2025-01,Rollos Capeados,171.55,6
2025-01,Tazones,225.00,6
2025-01,Extras,43.10,157
2025-01,Refrescos,42.24,42
2025-01,Tes Calientes o Frios,33.62,12
2025-01,Rollos Naturales,236.21,130
2025-01,Cocteles sin Alcohol,59.48,26
2025-01,Tes Calientes o Frios,107.76,11
2025-01,Tazones,197.41,9
2025-01,Teppanyaki,289.66,11
2025-01,Tempuras,116.38,2
2025-01,Rollos Naturales,236.21,160
2025-01,Vegano,111.21,5
2025-01,Pastas,223.28,14
2025-01,Pastas,223.28,6
2025-01,Rollos Empanizados,181.90,32
2025-01,Tazones,197.41,13
2025-01,Mojitos,64.66,3
2025-01,Postres,90.52,7
2025-01,Cocteles,90.52,10
2025-01,PokeBowl,203.45,86
2025-01,Rollos Capeados,171.55,5
2025-01,Limonadas,38.79,162
2025-01,Vodka,42.24,1
2025-01,Teppanyaki,332.76,6
2025-01,Entradas,180.17,32
2025-01,Refrescos,42.24,24
2025-01,Digestivo,99.14,2
2025-01,Limonadas,38.79,118
2025-01,Teppanyaki,289.66,8
2025-01,Jarras Limonada,107.76,2
2025-01,Pastas,279.31,11
2025-01,Entradas,257.76,41
2025-01,Tazones,225.00,5
2025-01,Vegano,138.79,2
2025-01,Tempuras,116.38,6
2025-01,Cocteles sin Alcohol,59.48,12
2025-01,PokeBowl,203.45,38
2025-01,Pastas,223.28,11
2025-01,Cocteles,90.52,3
2025-01,Tempuras,116.38,7
2025-01,Rollos Naturales,197.41,78
2025-01,Martinis,47.41,3
2025-01,Postres,90.52,2
2025-01,Nigiri,30.17,2
2025-01,Refrescos,42.24,33
2025-01,Rollos Capeados,137.07,5
2025-01,Temakis,107.76,9
2025-01,Cervezas,137.07,10
2025-01,Limonadas,38.79,70
2025-01,Tes Calientes o Frios,33.62,9
2025-01,Cocteles sin Alcohol,59.48,3
2025-01,Rollos Capeados,171.55,3
2025-01,Refrescos,42.24,47
2025-01,Kids,128.45,8
2025-01,Tazones,197.41,11
2025-01,Entradas,257.76,60
2025-01,Postres,90.52,6
2025-01,Cervezas,38.79,35
2025-01,Cocteles sin Alcohol,59.48,12
2025-01,Rollos Horneados,197.41,29
2025-01,Sopas,64.66,5
2025-01,Ginebra,42.24,1
2025-01,Refrescos,42.24,51
2025-01,Rollos Horneados,197.41,35
2025-01,Ginebra,42.24,1
2025-01,Cervezas,38.79,19
2025-01,Vinos,90.52,3
2025-01,Martinis,47.41,1
2025-01,Rollos Empanizados,181.90,101
2025-01,Sopas,223.28,12
2025-01,Arroz,128.45,67
2025-01,Refrescos,33.62,16
2025-01,Temakis,107.76,3
2025-01,Kids,90.52,2
2025-01,Vegano,138.79,6
2025-01,Extras,43.10,134
2025-01,Vinos,90.52,1
2025-01,Rollos Horneados,193.10,66
2025-01,Rollos Horneados,193.10,57
2025-01,Digestivo,99.14,1
2025-01,Rollos Capeados,171.55,2
2025-01,Sopas,223.28,5
2025-01,Extras,43.10,129
2025-01,Kids,90.52,3
2025-01,Margaritas,73.28,3
2025-01,Mojitos,64.66,6
2025-01,Martinis,47.41,2
2025-01,Arroz,128.45,39
2025-01,Nigiri,107.76,14
2025-01,Cervezas,38.79,22
2025-01,Postres,90.52,7
2025-01,Sopas,64.66,2
2025-01,Extras,43.10,184
2025-01,PokeBowl,203.45,32
2025-01,Rollos Empanizados,181.90,48
2025-01,Arroz,128.45,27
2025-01,Rollos Naturales,236.21,99
2025-01,Margaritas,73.28,4
2025-01,Tempuras,116.38,21
2025-01,Entradas,257.76,37
2025-01,Teppanyaki,266.38,4
2025-01,Vegano,111.21,1
2025-01,Kids,81.90,1
2025-01,Arroz,128.45,77
2025-01,PokeBowl,203.45,53
2025-01,PokeBowl,203.45,60
2025-01,Extras,43.10,97
2025-01,Ensaladas,90.52,1
2025-01,Tes Calientes o Frios,33.62,9
2025-01,Jarras Limonada,107.76,1
